scholar_name,mag_name,jw,qgram,scholar_cat
European Radiology,European Radiology,1,1,med_radiologymedicalimaging
European Radiology,European Urology,0.954,0.737,med_radiologymedicalimaging
European Radiology,European Neurology,0.933,0.737,med_radiologymedicalimaging
European Journal of Radiology,European Journal of Radiology,1,1,med_radiologymedicalimaging
European Journal of Radiology,European journal of cardiology,0.986,0.871,med_radiologymedicalimaging
European Journal of Radiology,European Journal of Radiology Open,0.971,0.857,med_radiologymedicalimaging
European Heart Journal-Cardiovascular Imaging,European Heart Journal,0.898,0.478,med_radiologymedicalimaging
European Heart Journal-Cardiovascular Imaging,European heart journal. Acute cardiovascular care,0.887,0.72,med_radiologymedicalimaging
European Heart Journal-Cardiovascular Imaging,European Educational Research Journal,0.882,0.435,med_radiologymedicalimaging
Endoscopy,Endoscopy,1,1,med_radiologymedicalimaging
Endoscopy,Endoscopia,0.938,0.727,med_radiologymedicalimaging
Endoscopy,Endoscopy International Open,0.864,0.345,med_radiologymedicalimaging
Circulation: Cardiovascular Imaging,Circulation-cardiovascular Imaging,0.94,0.917,med_radiologymedicalimaging
Circulation: Cardiovascular Imaging,Circulation-cardiovascular Genetics,0.869,0.694,med_radiologymedicalimaging
Circulation: Cardiovascular Imaging,Circulation,0.863,0.306,med_radiologymedicalimaging
American Journal of Roentgenology,American Journal of Roentgenology,1,1,med_radiologymedicalimaging
American Journal of Roentgenology,American Journal of Otology,0.949,0.735,med_radiologymedicalimaging
American Journal of Roentgenology,American journal of proctology,0.942,0.765,med_radiologymedicalimaging
American Journal of Neuroradiology,American Journal of Neuroradiology,1,1,med_radiologymedicalimaging
American Journal of Neuroradiology,American Journal of Audiology,0.95,0.771,med_radiologymedicalimaging
American Journal of Neuroradiology,American Journal of Otology,0.946,0.714,med_radiologymedicalimaging
"Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry",Synthesis and Reactivity in Inorganic Metal-organic and Nano-metal Chemistry,0.995,0.949,chm_inorganicchemistry
"Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry",Synthesis and Reactivity in Inorganic and Metal-organic Chemistry,0.93,0.81,chm_inorganicchemistry
"Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry",Synthesis Lectures on Artificial Intelligence and Machine Learning,0.845,0.38,chm_inorganicchemistry
Russian Journal of Inorganic Chemistry,Russian Journal of Inorganic Chemistry,1,1,chm_inorganicchemistry
Russian Journal of Inorganic Chemistry,Russian Journal of Bioorganic Chemistry,0.974,0.9,chm_inorganicchemistry
Russian Journal of Inorganic Chemistry,Russian Journal of Organic Chemistry,0.956,0.923,chm_inorganicchemistry
Polyhedron,Polyhedron,1,1,chm_inorganicchemistry
Polyhedron,Polymer,0.891,0.364,chm_inorganicchemistry
Polyhedron,Polymers,0.87,0.364,chm_inorganicchemistry
Organometallics,Organometallics,1,1,chm_inorganicchemistry
Organometallics,Organometallic syntheses,0.925,0.6,chm_inorganicchemistry
Organometallics,Organization,0.848,0.312,chm_inorganicchemistry
Journal of Organometallic Chemistry,Journal of Organometallic Chemistry,1,1,chm_inorganicchemistry
Journal of Organometallic Chemistry,Journal of Materials Chemistry C,0.926,0.639,chm_inorganicchemistry
Journal of Organometallic Chemistry,Journal of Analytical Chemistry,0.925,0.667,chm_inorganicchemistry
Journal of Inorganic and Organometallic Polymers and Materials,Journal of Inorganic and Organometallic Polymers and Materials,1,1,chm_inorganicchemistry
Journal of Inorganic and Organometallic Polymers and Materials,Journal of California and Great Basin Anthropology,0.884,0.413,chm_inorganicchemistry
Journal of Inorganic and Organometallic Polymers and Materials,Journal of information technology case and application research,0.883,0.406,chm_inorganicchemistry
Journal of Inorganic and General Chemistry,Journal of Inorganic and Nuclear Chemistry,0.966,0.814,chm_inorganicchemistry
Journal of Inorganic and General Chemistry,Journal of Inorganic Materials,0.916,0.535,chm_inorganicchemistry
Journal of Inorganic and General Chemistry,Journal of Central China Normal University,0.915,0.558,chm_inorganicchemistry
Journal of Inorganic Biochemistry,Journal of Inorganic Biochemistry,1,1,chm_inorganicchemistry
Journal of Inorganic Biochemistry,Journal of Coordination Chemistry,0.93,0.676,chm_inorganicchemistry
Journal of Inorganic Biochemistry,Journal of Organic Chemistry,0.927,0.794,chm_inorganicchemistry
Journal of Coordination Chemistry,Journal of Coordination Chemistry,1,1,chm_inorganicchemistry
Journal of Coordination Chemistry,Journal of Inorganic Biochemistry,0.93,0.676,chm_inorganicchemistry
Journal of Coordination Chemistry,Journal of Information Security,0.921,0.559,chm_inorganicchemistry
Journal of Cluster Science,Journal of Cluster Science,1,1,chm_inorganicchemistry
Journal of Cluster Science,Journal of Computer Science,0.946,0.821,chm_inorganicchemistry
Journal of Cluster Science,Journal of Cell Science,0.942,0.741,chm_inorganicchemistry
Inorganics,Inorganics (Basel),0.911,0.579,chm_inorganicchemistry
Inorganics,Inorganic Syntheses,0.905,0.5,chm_inorganicchemistry
Inorganics,Inorganic Chemistry,0.905,0.45,chm_inorganicchemistry
Inorganica Chimica Acta,Inorganica Chimica Acta,1,1,chm_inorganicchemistry
Inorganica Chimica Acta,Inorganica Chimica Acta Reviews,0.948,0.75,chm_inorganicchemistry
Inorganica Chimica Acta,Inorganic Chemistry,0.875,0.5,chm_inorganicchemistry
Inorganic and Nano-Metal Chemistry,Inorganic and Nano-Metal Chemistry,1,1,chm_inorganicchemistry
Inorganic and Nano-Metal Chemistry,Inorganic and Nuclear Chemistry Letters,0.892,0.65,chm_inorganicchemistry
Inorganic and Nano-Metal Chemistry,Inorganic Chemistry,0.88,0.571,chm_inorganicchemistry
Inorganic Chemistry Frontiers,Inorganic chemistry frontiers,1,1,chm_inorganicchemistry
Inorganic Chemistry Frontiers,Inorganic Chemistry,0.931,0.667,chm_inorganicchemistry
Inorganic Chemistry Frontiers,Inorganic Chemistry Communications,0.911,0.657,chm_inorganicchemistry
Inorganic Chemistry Communications,Inorganic Chemistry Communications,1,1,chm_inorganicchemistry
Inorganic Chemistry Communications,Inorganic Chemistry,0.912,0.571,chm_inorganicchemistry
Inorganic Chemistry Communications,Inorganic chemistry frontiers,0.911,0.657,chm_inorganicchemistry
Inorganic Chemistry,Inorganic Chemistry,1,1,chm_inorganicchemistry
Inorganic Chemistry,Inorganic Chemicals Industry,0.936,0.655,chm_inorganicchemistry
Inorganic Chemistry,Inorganic chemistry frontiers,0.931,0.667,chm_inorganicchemistry
European Journal of Inorganic Chemistry,European Journal of Inorganic Chemistry,1,1,chm_inorganicchemistry
European Journal of Inorganic Chemistry,European Journal of Organic Chemistry,0.957,0.925,chm_inorganicchemistry
European Journal of Inorganic Chemistry,European Journal of Finance,0.926,0.55,chm_inorganicchemistry
"Dalton Transactions (Cambridge, England)",Dalton Transactions,0.895,0.488,chm_inorganicchemistry
"Dalton Transactions (Cambridge, England)",DEStech Transactions on Materials Science and Engineering,0.755,0.397,chm_inorganicchemistry
"Dalton Transactions (Cambridge, England)",Desalination and Water Treatment,0.745,0.293,chm_inorganicchemistry
Coordination Chemistry Reviews,Coordination Chemistry Reviews,1,1,chm_inorganicchemistry
Coordination Chemistry Reviews,Commonwealth forestry review,0.832,0.452,chm_inorganicchemistry
Coordination Chemistry Reviews,Communication Reports,0.811,0.355,chm_inorganicchemistry
Bioinorganic Chemistry & Applications,Bioinorganic Chemistry and Applications,0.946,0.9,chm_inorganicchemistry
Bioinorganic Chemistry & Applications,Bioinorganic Chemistry,0.919,0.605,chm_inorganicchemistry
Bioinorganic Chemistry & Applications,Bioinformatics and Biology Insights,0.847,0.395,chm_inorganicchemistry
Structural and Multidisciplinary Optimization,Structural and Multidisciplinary Optimization,1,1,phy_mathematicaloptimization
Structural and Multidisciplinary Optimization,Structural Dynamics,0.853,0.283,phy_mathematicaloptimization
Structural and Multidisciplinary Optimization,Structural Chemistry,0.849,0.326,phy_mathematicaloptimization
SIAM Journal on Optimization,Siam Journal on Optimization,1,1,phy_mathematicaloptimization
SIAM Journal on Optimization,SIAM Journal on Computing,0.915,0.586,phy_mathematicaloptimization
SIAM Journal on Optimization,Siam Journal on Control and Optimization,0.911,0.707,phy_mathematicaloptimization
SIAM Journal on Control and Optimization,Siam Journal on Control and Optimization,1,1,phy_mathematicaloptimization
SIAM Journal on Control and Optimization,Siam Journal on Control,0.915,0.585,phy_mathematicaloptimization
SIAM Journal on Control and Optimization,Siam Journal on Optimization,0.911,0.707,phy_mathematicaloptimization
RAIRO-Operations Research,Rairo-operations Research,1,1,phy_mathematicaloptimization
RAIRO-Operations Research,Radiation Research,0.821,0.577,phy_mathematicaloptimization
RAIRO-Operations Research,Operations Research,0.797,0.731,phy_mathematicaloptimization
Optimization and Engineering,Optimization and Engineering,1,1,phy_mathematicaloptimization
Optimization and Engineering,Optimization,0.886,0.448,phy_mathematicaloptimization
Optimization and Engineering,Optimization Letters,0.874,0.483,phy_mathematicaloptimization
Optimization Methods and Software,Optimization Methods & Software,0.955,0.882,phy_mathematicaloptimization
Optimization Methods and Software,Optimization Letters,0.895,0.441,phy_mathematicaloptimization
Optimization Methods and Software,Optimization,0.873,0.382,phy_mathematicaloptimization
Optimization Letters,Optimization Letters,1,1,phy_mathematicaloptimization
Optimization Letters,Optimization,0.92,0.619,phy_mathematicaloptimization
Optimization Letters,Optimization Methods & Software,0.902,0.469,phy_mathematicaloptimization
Optimization,Optimization,1,1,phy_mathematicaloptimization
Optimization,Optimization Letters,0.92,0.619,phy_mathematicaloptimization
Optimization,Optimization and Engineering,0.886,0.448,phy_mathematicaloptimization
Operations Research Letters,Operations Research Letters,1,1,phy_mathematicaloptimization
Operations Research Letters,Operations Research,0.941,0.714,phy_mathematicaloptimization
Operations Research Letters,Operations Research Perspectives,0.925,0.697,phy_mathematicaloptimization
Mathematics of Operations Research,Mathematics of Operations Research,1,1,phy_mathematicaloptimization
Mathematics of Operations Research,Mathematical Methods of Operations Research,0.899,0.773,phy_mathematicaloptimization
Mathematics of Operations Research,Mathematics of Computation,0.89,0.543,phy_mathematicaloptimization
Mathematical Programming,Mathematical Programming,1,1,phy_mathematicaloptimization
Mathematical Programming,Mathematical Programming Computation,0.933,0.676,phy_mathematicaloptimization
Mathematical Programming,Mathematical Reports,0.9,0.52,phy_mathematicaloptimization
Journal of Optimization Theory and Applications,Journal of Optimization Theory and Applications,1,1,phy_mathematicaloptimization
Journal of Optimization Theory and Applications,Journal of Control Theory and Applications,0.9,0.75,phy_mathematicaloptimization
Journal of Optimization Theory and Applications,Journal of Statistical Theory and Applications,0.894,0.792,phy_mathematicaloptimization
Journal of Nonlinear and Convex Analysis,Journal of Nonlinear and Convex Analysis,1,1,phy_mathematicaloptimization
Journal of Nonlinear and Convex Analysis,Journal of Nonlinear Analysis and Application,0.912,0.761,phy_mathematicaloptimization
Journal of Nonlinear and Convex Analysis,Journal of Finance and Investment Analysis,0.907,0.628,phy_mathematicaloptimization
Journal of Industrial and Management Optimization,Journal of Industrial and Management Optimization,1,1,phy_mathematicaloptimization
Journal of Industrial and Management Optimization,Journal of Industrial and Intelligent Information,0.914,0.72,phy_mathematicaloptimization
Journal of Industrial and Management Optimization,Journal of Industrial Information Integration,0.911,0.6,phy_mathematicaloptimization
Journal of Global Optimization,Journal of Global Optimization,1,1,phy_mathematicaloptimization
Journal of Global Optimization,Journal of Globalization Studies,0.919,0.727,phy_mathematicaloptimization
Journal of Global Optimization,Journal of Global Communication,0.918,0.719,phy_mathematicaloptimization
Fixed Point Theory and Applications,Fixed Point Theory and Applications,1,1,phy_mathematicaloptimization
Fixed Point Theory and Applications,Fixed Point Theory,0.903,0.528,phy_mathematicaloptimization
Fixed Point Theory and Applications,Fixed Point Theory and Algorithms for Sciences and Engineering,0.877,0.397,phy_mathematicaloptimization
Engineering Optimization,Engineering Optimization,1,1,phy_mathematicaloptimization
Engineering Optimization,Engineering Computations,0.921,0.64,phy_mathematicaloptimization
Engineering Optimization,Engineering Plastics Application,0.897,0.545,phy_mathematicaloptimization
"ESAIM: Control, Optimisation and Calculus of Variations","ESAIM: Control, Optimisation and Calculus of Variations",1,1,phy_mathematicaloptimization
"ESAIM: Control, Optimisation and Calculus of Variations",Esaim: Probability and Statistics,0.824,0.304,phy_mathematicaloptimization
"ESAIM: Control, Optimisation and Calculus of Variations","Estudios sobre Patrimonio, Cultura y Ciencias Medievales",0.798,0.333,phy_mathematicaloptimization
Computational Optimization and Applications,Computational Optimization and Applications,1,1,phy_mathematicaloptimization
Computational Optimization and Applications,Computational Sciences and Optimization,0.88,0.727,phy_mathematicaloptimization
Computational Optimization and Applications,Computational Mathematics and Modeling,0.875,0.545,phy_mathematicaloptimization
Applied Mathematics & Optimization,Applied Mathematics and Optimization,0.941,0.892,phy_mathematicaloptimization
Applied Mathematics & Optimization,Applied Mathematics and Computation,0.921,0.694,phy_mathematicaloptimization
Applied Mathematics & Optimization,Applied Mathematics & Information Sciences,0.911,0.628,phy_mathematicaloptimization
